title,date_str,siteName,sentiment,pageUrl,author
Taiwan stages Chinese invasion war games with Ukraine in mind,d2022-07-25T13:53,KyivPost,0.0,https://www.kyivpost.com/world/taiwan-stages-chinese-invasion-war-games-with-ukraine-in-mind.html,AFP
Strategic Port Access in Greece Supports Ukraine – US Defense Secretary,d2022-07-24T10:56,KyivPost,0.3,https://www.kyivpost.com/post/2132,Kyiv Post
Russian Gas Attack: Europe Must Not Give in to Putin’s Energy Blackmail,d2022-07-23T20:47,KyivPost,-0.27,https://www.kyivpost.com/economics/russian-gas-attack-europe-must-not-give-in-to-putins-energy-blackmail.html,Diane Francis
USA: Ukraine’s First Lady Makes Heartfelt Plea for More Weapons,d2022-07-21T15:22,KyivPost,0.444,https://www.kyivpost.com/russias-war/usa-ukraines-first-lady-makes-heartfelt-plea-for-more-weapons.html,Jay Beecher
NBU Raises Official Exchange Rate of Hryvnia to Dollar by 25%,d2022-07-21T15:12,KyivPost,0.0,https://www.kyivpost.com/ukraine-politics/nbu-raises-official-exchange-rate-of-hryvnia-to-dollar-by-25.html,Aleksandra Klitina
"ICU Weekly Insight: July 18, 2022 – Eurobond prices at new low",d2022-07-20T15:34,KyivPost,0.0,https://www.kyivpost.com/ukraine-politics/icu-weekly-insight-july-18-2022-eurobond-prices-at-new-low.html,Kyiv Post
Ukrainian Government Operational Update on the Russian Invasion,d2022-07-19T12:23,KyivPost,0.0,https://www.kyivpost.com/post/2225,Kyiv Post
"Iran Hosts Putin, Erdogan for Talks Overshadowed by Ukraine War",d2022-07-19T10:06,KyivPost,-0.19,https://www.kyivpost.com/russias-war/iran-hosts-putin-erdogan-for-talks-overshadowed-by-ukraine-war.html,AFP
READ: Zelensky’s Important Address – July 17,d2022-07-18T11:34,KyivPost,-0.169,https://www.kyivpost.com/post/2244,Kyiv Post
"ISW Russian Offensive Campaign Assessment, July 17",d2022-07-18T11:02,KyivPost,-0.218,https://www.kyivpost.com/post/6747,ISW
Ukrainian Government Awards Kyiv Post Coveted SpaceX Starlink Satellite System,d2022-07-14T12:32,KyivPost,0.512,https://www.kyivpost.com/ukraine-politics/ukrainian-government-awards-kyiv-post-coveted-spacex-starlink-satellite-system-2.html,Kyiv Post
Timothy Snyder: Germany must own up to past atrocities in Ukraine,d2022-07-11T13:26,KyivPost,-0.202,https://www.kyivpost.com/article/opinion/op-ed/timothy-snyder-germany-must-past-atrocities-ukraine.html,Timothy Snyder
BREAKING: Death toll after Russian strike on east Ukraine apartment building reaches 15,d2022-07-10T14:16,KyivPost,-0.498,https://www.kyivpost.com/russias-war/breaking-death-toll-after-russian-strike-on-east-ukraine-apartment-building-reaches-15.html,AFP
